"Código de departamentos","Población total (en hogares familiares).","Población de 0 a 17 años.","Población de 0 a 3 años.","Población de 4 a 5 años.","Población de 6 a 12 años.","Población de 13 a 17 años.","Población de 18 años y más.","Población de 18 a 29 años.","Población de 30 a 54 años.","Población de 55 a 69 años.","Población de 70 años y más.","Total de mujeres (en hogares familiares).","Mujeres de 0 a 17 años.","Mujeres de 0 a 3 años.","Mujeres de 4 a 5 años.","Mujeres de 6 a 12 años.","Mujeres de 13 a 17 años.","Mujeres de 18 años y más.","Mujeres de 18 a 29 años.","Mujeres de 30 a 54 años.","Mujeres de 55 a 69 años.","Mujeres de 70 años y más.","Total de varones (en hogares familiares).","Varones de 0 a 17 años.","Varones de 0 a 3 años.","Varones de 4 a 5 años.","Varones de 6 a 12 años.","Varones de 13 a 17 años.","Varones de 18 años y más.","Varones de 18 a 29 años.","Varones de 30 a 54 años.","Varones de 55 a 69 años.","Varones de 70 años y más.","Niños de 0 a 3 años que asisten a jardín maternal","Obra social o prepaga (incluye PAMI)","Programas o planes estatales de salud","Solo salud pública","Personas que reciben jubilación (65 años y más)","Personas que reciben pensión (65 años y más)","Personas que reciben jubilación o pensión (65 años y más)","Personas que cobran pensión no contributiva","Población de 65 años y más","Población de 18 y más con primaria incompleta o menos","Población de 18 y más con primaria completa o más","Población de 18 y más con secundaria completa o más","Población de 18 y más con primaria completa sin secundario completo","Población de 18 y más con secundaria completa sin superior completo","Población de 18 y más con terciario completo sin universitario completo","Población de 18 y más con universitario completo o más","Niños de 4 y 5 años que asisten a jardín","Población de 6 a 12 que asiste","Población de 13 a 17 sin secundaria completa que asiste","Población de 13 a 17 sin secundaria completa","Población de 18 a 29 sin secundaria completa que asiste","Población de 18 a 29 sin secundaria completa","Población de 14 a 25 años sin secundario completo o más que asiste","Población de 14 a 25 años sin secundario completo","Población de 14 a 25 años","Código de provincia","Nombre de provincia","Código de departamento","Nombre de departamento","Población total","Total de hogares","Latitud del centroide","Longitud del centroide","Superficie en km2"
"02007",221001,41264,7447,4772,17398,11647,179737,45844,80762,31112,22019,115959,20561,3673,2384,8635,5869,95398,23739,41224,16787,13648,105042,20703,3774,2388,8763,5778,84339,22105,39538,14325,8371,3947,153360,5919,61722,25142,5615,25799,6036,30988,12025,167712,133860,33852,79937,14146,39777,4517,16844,10819,11371,3594,9737,11586,15690,38669,"02","Ciudad Autónoma de Buenos Aires","02007","Comuna 1",221001,106509,-34.60638,-58.371723,17.762646544713
"02014",160609,21941,4277,2339,8758,6567,138668,37173,52382,24319,24794,90302,10859,2118,1135,4371,3235,79443,20948,28309,14223,15963,70307,11082,2159,1204,4387,3332,59225,16225,24073,10096,8831,2561,146427,1844,12338,27970,6537,28755,1498,32564,3638,135030,125023,10007,58334,12104,54585,2276,8597,6053,6238,732,1946,5442,6344,30279,"02","Ciudad Autónoma de Buenos Aires","02014","Comuna 2",160609,83818,-34.585157,-58.394234,6.6036927486894
"02021",193537,33045,5550,3668,13857,9970,160492,36826,72103,29566,21997,104323,16471,2710,1859,6831,5071,87852,19202,37329,16829,14492,89214,16574,2840,1809,7026,4899,72640,17624,34774,12737,7505,3001,149826,4791,38920,26328,6381,26884,4171,30948,8557,151935,122383,29552,75780,15080,31523,3530,13519,9328,9729,2371,6182,9353,11923,31360,"02","Ciudad Autónoma de Buenos Aires","02021","Comuna 3",193537,92555,-34.61383,-58.402686,6.3863844765488
"02028",227024,51932,8225,5618,22520,15569,175092,40351,81064,32050,21627,119835,25444,4027,2755,11071,7591,94391,20463,42423,17812,13693,107189,26488,4198,2863,11449,7978,80701,19888,38641,14238,7934,4684,154337,7895,64792,26509,6779,27142,6198,31021,13837,161255,110193,51062,75908,14000,20285,5454,22144,14696,15355,4858,13002,15767,21142,39123,"02","Ciudad Autónoma de Buenos Aires","02028","Comuna 4",227024,91186,-34.642423,-58.388728,21.971238434816
"02035",192449,30914,5111,3337,13029,9437,161535,31569,73861,31106,24999,105002,15344,2549,1628,6453,4714,89658,16503,39223,17740,16192,87447,15570,2562,1709,6576,4723,71877,15066,34638,13366,8807,3033,164919,3592,23938,30331,7579,30972,2940,34670,6336,155199,130609,24590,73102,17408,40099,3238,12736,8948,9224,1680,4073,8603,10252,27174,"02","Ciudad Autónoma de Buenos Aires","02035","Comuna 5",192449,93208,-34.617359,-58.420608,6.6602522775587
"02042",201764,33203,5635,3547,13889,10132,168561,29058,76433,33914,29156,110746,16561,2835,1800,6785,5141,94185,15324,40938,19395,18528,91018,16642,2800,1747,7104,4991,74376,13734,35495,14519,10628,3471,182597,3050,16117,35507,9100,36238,2181,39967,6627,161934,143101,18833,71719,19233,52149,3453,13503,9583,9890,1098,3015,8544,9932,25921,"02","Ciudad Autónoma de Buenos Aires","02042","Comuna 6",201764,95464,-34.616831,-58.443604,6.8509890584436
"02049",213262,40720,6440,4342,17292,12646,172542,33433,76777,35178,27154,113904,19908,3079,2203,8420,6206,93996,16983,40181,19684,17148,99358,20812,3361,2139,8872,6440,78546,16450,36596,15494,10006,3585,170770,5168,37324,33120,8429,33790,3721,37857,9123,163419,130731,32688,77558,18321,34852,4198,16970,12085,12400,2407,6136,11716,14168,31908,"02","Ciudad Autónoma de Buenos Aires","02049","Comuna 7",213262,90970,-34.636546,-58.451926,12.425302113161
"02056",203888,55264,8727,5841,23918,16778,148624,39097,69051,24897,15579,107116,27140,4129,2970,11804,8237,79976,19863,36448,13744,9921,96772,28124,4598,2871,12114,8541,68648,19234,32603,11153,5658,4486,109934,9207,84747,18864,5092,19367,7269,22550,16587,132037,76897,55140,60588,8747,7562,5619,23359,15736,16557,5651,15199,16999,23371,39658,"02","Ciudad Autónoma de Buenos Aires","02056","Comuna 8",203888,70622,-34.674441,-58.461775,22.233405972704
"02063",167908,34328,5124,3449,14531,11224,133580,26290,59243,27253,20794,88417,16818,2486,1658,7187,5487,71599,13008,30707,14925,12959,79491,17510,2638,1791,7344,5737,61981,13282,28536,12328,7835,2735,125671,4856,37381,25938,7166,26512,3435,29092,8167,125413,91122,34291,61195,13276,16651,3345,14200,10623,11037,2415,6187,10631,13218,26693,"02","Ciudad Autónoma de Buenos Aires","02063","Comuna 9",167908,66753,-34.651655,-58.498757,16.252551626984
"02070",171896,31709,4887,3368,13286,10168,140187,25196,61553,29810,23628,91566,15420,2334,1652,6442,4992,76146,12659,32191,16582,14714,80330,16289,2553,1716,6844,5176,64041,12537,29362,13228,8914,2751,142743,3940,25213,29656,7653,30205,2540,32997,5615,134572,106726,27846,65274,16558,24894,3280,13076,9758,9984,1731,4396,9362,11191,24760,"02","Ciudad Autónoma de Buenos Aires","02070","Comuna 10",171896,73964,-34.627884,-58.502583,12.526666705176
